"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the genitourinary system"	"N00-N98"	"Diseases of male genital organs"	"N40-N50"	"Disorder of male genital organs, unspecified"	"N50.9"	43	4791200056	0.0
"Total"	"Diseases of the genitourinary system"	"N00-N98"	"Diseases of male genital organs"	"N40-N50"			11099	4791200056	0.2
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Solitary cyst of breast"	"N60.0"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Diffuse cystic mastopathy"	"N60.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Fibroadenosis of breast"	"N60.2"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Fibrosclerosis of breast"	"N60.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Mammary duct ectasia"	"N60.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Other benign mammary dysplasias"	"N60.8"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Benign mammary dysplasia, unspecified"	"N60.9"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Inflammatory disorders of breast"	"N61"	187	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Hypertrophy of breast"	"N62"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Unspecified lump in breast"	"N63"	482	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Fissure and fistula of nipple"	"N64.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Fat necrosis of breast"	"N64.1"	9	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Atrophy of breast"	"N64.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Galactorrhoea not associated with childbirth"	"N64.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Mastodynia"	"N64.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Other signs and symptoms in breast"	"N64.5"	5	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Other specified disorders of breast"	"N64.8"	13	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"	"Disorder of breast, unspecified"	"N64.9"	233	4791200056	0.0
"Total"	"Diseases of the genitourinary system"	"N00-N98"	"Disorders of breast"	"N60-N64"			935	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Acute salpingitis and oophoritis"	"N70.0"	18	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Chronic salpingitis and oophoritis"	"N70.1"	6	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Salpingitis and oophoritis, unspecified"	"N70.9"	174	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Acute inflammatory disease of uterus"	"N71.0"	20	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Chronic inflammatory disease of uterus"	"N71.1"	3	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Inflammatory disease of uterus, unspecified"	"N71.9"	204	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Inflammatory disease of cervix uteri"	"N72"	15	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Acute parametritis and pelvic cellulitis"	"N73.0"	5	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Chronic parametritis and pelvic cellulitis"	"N73.1"	12	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Unspecified parametritis and pelvic cellulitis"	"N73.2"	13	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Female acute pelvic peritonitis"	"N73.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Female chronic pelvic peritonitis"	"N73.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Female pelvic peritonitis, unspecified"	"N73.5"	13	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Female pelvic peritoneal adhesions"	"N73.6"	32	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Other specified female pelvic inflammatory diseases"	"N73.8"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Female pelvic inflammatory disease, unspecified"	"N73.9"	1174	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Cyst of Bartholin's gland"	"N75.0"	5	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Abscess of Bartholin's gland"	"N75.1"	3	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Other diseases of Bartholin's gland"	"N75.8"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Disease of Bartholin's gland, unspecified"	"N75.9"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Acute vaginitis"	"N76.0"	40	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Subacute and chronic vaginitis"	"N76.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Acute vulvitis"	"N76.2"	15	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Subacute and chronic vulvitis"	"N76.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Abscess of vulva"	"N76.4"	69	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Ulceration of vagina"	"N76.5"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Ulceration of vulva"	"N76.6"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	"Other specified inflammation of vagina and vulva"	"N76.8"	147	4791200056	0.0
"Total"	"Diseases of the genitourinary system"	"N00-N98"	"Inflammatory diseases of female pelvic organs"	"N70-N76"			1973	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of uterus"	"N80.0"	25	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of ovary"	"N80.1"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of fallopian tube"	"N80.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of pelvic peritoneum"	"N80.3"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of rectovaginal septum and vagina"	"N80.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis of intestine"	"N80.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis in cutaneous scar"	"N80.6"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other endometriosis"	"N80.8"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometriosis, unspecified"	"N80.9"	54	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Female urethrocele"	"N81.0"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Cystocele"	"N81.1"	134	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Incomplete uterovaginal prolapse"	"N81.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Complete uterovaginal prolapse"	"N81.3"	9	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Uterovaginal prolapse, unspecified"	"N81.4"	96	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Vaginal enterocele"	"N81.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Rectocele"	"N81.6"	13	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other female genital prolapse"	"N81.8"	20	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Female genital prolapse, unspecified"	"N81.9"	3	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Vesicovaginal fistula"	"N82.0"	49	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other female urinary-genital tract fistulae"	"N82.1"	14	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Fistula of vagina to small intestine"	"N82.2"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Fistula of vagina to large intestine"	"N82.3"	790	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other female intestinal-genital tract fistulae"	"N82.4"	107	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Female genital tract-skin fistulae"	"N82.5"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other female genital tract fistulae"	"N82.8"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Female genital tract fistula, unspecified"	"N82.9"	43	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Follicular cyst of ovary"	"N83.0"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Corpus luteum cyst"	"N83.1"	11	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other and unspecified ovarian cysts"	"N83.2"	174	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Acquired atrophy of ovary and fallopian tube"	"N83.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Prolapse and hernia of ovary and fallopian tube"	"N83.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Torsion of ovary, ovarian pedicle and fallopian tube"	"N83.5"	26	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Haematosalpinx"	"N83.6"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Haematoma of broad ligament"	"N83.7"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"	"N83.8"	38	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified"	"N83.9"	688	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of corpus uteri"	"N84.0"	6	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of cervix uteri"	"N84.1"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of vagina"	"N84.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of vulva"	"N84.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of other parts of female genital tract"	"N84.8"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Polyp of female genital tract, unspecified"	"N84.9"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometrial glandular hyperplasia"	"N85.0"	17	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Endometrial adenomatous hyperplasia"	"N85.1"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Hypertrophy of uterus"	"N85.2"	16	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Subinvolution of uterus"	"N85.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Malposition of uterus"	"N85.4"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Inversion of uterus"	"N85.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Intrauterine synechiae"	"N85.6"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Haematometra"	"N85.7"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified noninflammatory disorders of uterus"	"N85.8"	67	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Noninflammatory disorder of uterus, unspecified"	"N85.9"	231	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Erosion and ectropion of cervix uteri"	"N86"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Mild cervical dysplasia"	"N87.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Moderate cervical dysplasia"	"N87.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Severe cervical dysplasia, not elsewhere classified"	"N87.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Dysplasia of cervix uteri, unspecified"	"N87.9"	6	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Leukoplakia of cervix uteri"	"N88.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Old laceration of cervix uteri"	"N88.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Stricture and stenosis of cervix uteri"	"N88.2"	105	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Incompetence of cervix uteri"	"N88.3"	34	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Hypertrophic elongation of cervix uteri"	"N88.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified noninflammatory disorders of cervix uteri"	"N88.8"	25	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Noninflammatory disorder of cervix uteri, unspecified"	"N88.9"	24	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Mild vaginal dysplasia"	"N89.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Moderate vaginal dysplasia"	"N89.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Severe vaginal dysplasia, not elsewhere classified"	"N89.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Dysplasia of vagina, unspecified"	"N89.3"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Leukoplakia of vagina"	"N89.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Stricture and atresia of vagina"	"N89.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Tight hymenal ring"	"N89.6"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Haematocolpos"	"N89.7"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified noninflammatory disorders of vagina"	"N89.8"	8	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Noninflammatory disorder of vagina, unspecified"	"N89.9"	14	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Mild vulvar dysplasia"	"N90.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Moderate vulvar dysplasia"	"N90.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Severe vulvar dysplasia, not elsewhere classified"	"N90.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Dysplasia of vulva, unspecified"	"N90.3"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Leukoplakia of vulva"	"N90.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Atrophy of vulva"	"N90.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Hypertrophy of vulva"	"N90.6"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Vulvar cyst"	"N90.7"	2	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified noninflammatory disorders of vulva and perineum"	"N90.8"	6	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Noninflammatory disorder of vulva and perineum, unspecified"	"N90.9"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Primary amenorrhoea"	"N91.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Secondary amenorrhoea"	"N91.1"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Amenorrhoea, unspecified"	"N91.2"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Primary oligomenorrhoea"	"N91.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Secondary oligomenorrhoea"	"N91.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Oligomenorrhoea, unspecified"	"N91.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Excessive and frequent menstruation with regular cycle"	"N92.0"	18	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Excessive and frequent menstruation with irregular cycle"	"N92.1"	10	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Excessive menstruation at puberty"	"N92.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Ovulation bleeding"	"N92.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Excessive bleeding in the premenopausal period"	"N92.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified irregular menstruation"	"N92.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Irregular menstruation, unspecified"	"N92.6"	4	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Postcoital and contact bleeding"	"N93.0"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified abnormal uterine and vaginal bleeding"	"N93.8"	23	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Abnormal uterine and vaginal bleeding, unspecified"	"N93.9"	419	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Mittelschmerz"	"N94.0"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Dyspareunia"	"N94.1"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Vaginismus"	"N94.2"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Premenstrual tension syndrome"	"N94.3"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Primary dysmenorrhoea"	"N94.4"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Secondary dysmenorrhoea"	"N94.5"	0	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Dysmenorrhoea, unspecified"	"N94.6"	1	4791200056	Unreliable
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Other specified conditions associated with female genital organs and menstrual cycle"	"N94.8"	166	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Unspecified condition associated with female genital organs and menstrual cycle"	"N94.9"	30	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Postmenopausal bleeding"	"N95.0"	67	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Menopausal and female climacteric states"	"N95.1"	22	4791200056	0.0
	"Diseases of the genitourinary system"	"N00-N98"	"Noninflammatory disorders of female genital tract"	"N80-N98"	"Postmenopausal atrophic vaginitis"	"N95.2"	17	4791200056	Unreliable
